"Player Id","Ign","Team"
5193,"1saakix","le panes"
5336,"1Samael","CosVer Gaming"
17453,"1SickButton","Fearless Female"
22961,"1ssues","Enraged Mob"
5232,"1stDiablo","Atomic México"
8680,"1Steufmehl","FieryWall Gaming"
5236,"1stFurious","Atomic México"
11738,"1Tap","ATREUS"
14382,"1TaPGoD","True Rippers Esports"
16186,"1Texi","Deez Nuts"
10814,"1uke","KuCyJIbKu"
1300,"1ukey","Kanga Esports"
14321,"1uv0104","枝崽粉丝团"
1911,"1van","Kingsmen"
9353,"1WNS","Ath esport"
21544,"200iq","Most Wanted"
8590,"20fps","ThiccWRECK"
22858,"20skid","Dark Circle"
12356,"21bom","Team Name EU"
22137,"22tRickz","Masquerade"
22825,"당근마켓사기경력23회","miracle victory"
24061,"23r3n4","FLAWLESS BR"
21318,"244","Coinflip"
24124,"24z","Dookie Doo Esports"
2451,"2525Hunter	","SunSister Dive"
8987,"2766","Sunsparks"
7876,"28cm","GreyFace"
20407,"28iq","KEKW"
8582,"2AM","Amarok Esports"
4111,"2DIAN0","All Gamers"
20701,"2Dms","CrossFogo"
22806,"2eZ 4dibb 桜","Cloud Nein"
3473,"2ez4MPI","Konoha"
9124,"2GE","Rex Regum Qeon"
4297,"2h5","Lethal Chaos"
14875,"2Kaim",""
13673,"2kovv","Haechi E-Sports FEM"
15229,"2kTor",""
15568,"2KY","SchwarzerLand"
23194,"2lita",""
23819,"2MxrcH","Request Skin SAGA"
21061,"2Percent","OSK"
70,"2 Piece",""
16370,"2Ral","Ninja Esport"
12929,"2RAL","Team DIE"
13311,"2RUSH","Illuzion Orange"
15181,"2sisi2kek","ValorantEXEC"
10496,"2Tap","WOLFPACK (HK)"
7553,"2w1ns","XYZ"
8800,"2x2",""
675,"2zzy",""
17019,"30iq","Proxymine"
19458,"32joints","Toilet Paper"
7320,"333#ryan","chess on crack"
8068,"345Y",""
10588,"369","aim_botz"
17362,"3an","New Genesis Esports"
25173,"3bon","AriaSheeP"
24643,"3Face","Dominatus Skywolf"
13438,"3laa","Baited"
3362,"3nable",""
21947,"3NZi","Prinzen von Stuttgart"
16427,"3Poils2Q","Chosen Five"
23648,"3rm1n",""
6212,"3t3v4ld0","ATK PILANTRA"
16657,"3vilArt","Very Laze"
25385,"3VN DJ","3VN X"
25386,"3VN Jen","3VN X"
25384,"3VN Mun","3VN X"
3997,"3ZRA","M8 Esports"
15629,"40pingSterry","SETOUCHI ENLIFE"
441,"4193726","Dambis"
19201,"41UK0",""
887,"428Light",""
15081,"49x",""
10700,"4armani","Overwatch"
15695,"4cm","No Name (HK)"
5285,"4DR","Zana e Amigos"
7952,"4E7Z","Starlan Gaming Club"
13710,"4EGENCH","Last Chance"
2380,"4FuNNie2k","BlackJack Esports"
14952,"4goz","StrongUnion"
21885,"4Gruch","kokpiT"
20364,"4Head","Black Hawk"
16932,"4kxxx",""
12402,"4Magician","Uns Random ae"
3962,"4PACK","Grind City"
198,"4qu1la","Butterfly Effect (JP)"
24202,"4ster","Capacity"
22183,"4Tapping","PLC"
13106,"4tlas","RAIN E-SPORTS"
22102,"50k Duck","5 of a Kind"
2080,"56ismysize","winnable"
13298,"5am","Brian n Friends"
22276,"5AM","Lucky Cat Gaming"
21977,"5eratnax",""
15632,"5exe","Defect"
24608,"5kiiin","Comet Esports Club"
22732,"5 M","Looking for Organize"
19463,"5Pace","Aerous"
20505,"60hz","GHOSTs"
12685,"60Hz player",""
13081,"639",""
2548,"665Sam","Paradox Gaming(Latam)"
8571,"666","Odyssey"
14728,"666",""
3432,"666SSJ","Millions Gaming"
11030,"666z",""
18170,"69Hz",""
21440,"69jesi","KABAHbl"
18027,"69Shinobu","GameBucksAeon"
3087,"6AlphaCross9","Death Dose"
15971,"6aspao",""
21998,"6fingers","FISHER ESPORTS"
8096,"6ftdeep",""
860,"6ix","Divinity EU"
21673,"6ix","Sinetic E-Sports"
21621,"6ixtos","Six Karma"
19602,"6ixxer","Perk Thirty"
3953,"6pack",""
10266,"6sonya","Alliance Coven"
12235,"6thInvasion (deleted)",""
6300,"730","MZ team esports"
8534,"777","THE KILTROZ"
20084,"79signerT","Esports Team Twente"
12639,"7ABAK","Team Z Esports"
21836,"7assasin","AyamJago"
14903,"7êvên","I don^t know"
20213,"7Mackan","Team Wyvern"
15854,"7MineSUPER",""
10148,"7ommyoh","YMCMB"
2440,"7PrOs",""
8919,"7radmiR","Meduzza Gaming"
24619,"7REY","5 SAHABAT"
15027,"7sec","TR4KLE keys"
16807,"7sete (deleted)",""
8846,"7SICK","5op"
18621,"7S Okeanos","7 States S Female"
999,"7ssk7","Natus Vincere"
21968,"840nty","Sexy Thanos"
21962,"88Drawng",""
16935,"8BQ","Phoenix (HK)"
24161,"8ecause","Aspyre"
9904,"8hs",""
8753,"8lax","KANAFI"
24936,"8lua","Ghetto Artist"
